sep=,
"ID","Title","Assigned To","Case ID","Comment","Defects","Elapsed","Estimate","Forecast","In Progress","Plan","Plan ID","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Status","Tested By","Tested On","Type","Version"
"T58271","CopyFile","nikitra123@gmail.com","C3117","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Functional","1","","Untested","","","Functional",""
"T55090","Копирование файла","nikitra123@gmail.com","C3123","","","4s","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Функционал","1","","Passed","nikitra123@gmail.com","11/23/2022 12:44 PM","Functional",""
"T55231","Копирование файлов с разной длиной имени (в имени только буквы)","nikitra123@gmail.com","C3143","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Функционал","1","","Passed","nikitra123@gmail.com","11/23/2022 12:52 PM","Functional",""
"T57034","Копирование файлов с различным размером (весом)","nikitra123@gmail.com","C3305","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Функционал","1","","Passed","nikitra123@gmail.com","11/23/2022 12:52 PM","Functional",""
"T58107","Копирование файла с различным форматом файлов","nikitra123@gmail.com","C3404","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Функционал","1","","Passed","nikitra123@gmail.com","11/23/2022 12:52 PM","Other",""
"T58120","Копирование файлов с именем где одни цифры","nikitra123@gmail.com","C3405","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Функционал","1","","Passed","nikitra123@gmail.com","11/23/2022 12:54 PM","Other",""
"T58133","Удаление файла из списка","nikitra123@gmail.com","C3406","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Функционал","1","","Passed","nikitra123@gmail.com","11/23/2022 12:54 PM","Other",""
"T58146","Удаление сразу нескольких файлов из списка","nikitra123@gmail.com","C3407","Все выделенные файлы не удалились, из 4 файлов осталось 2 в списке выбранных файлов","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Функционал","1","","Failed","nikitra123@gmail.com","11/23/2022 12:54 PM","Other",""
"T58159","Приостановка копирования файла","nikitra123@gmail.com","C3408","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Функционал","1","","Passed","nikitra123@gmail.com","11/23/2022 12:53 PM","Other",""
"T58172","Копирования пустого файлом размером 0 байт","nikitra123@gmail.com","C3409","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Функционал","1","","Passed","nikitra123@gmail.com","11/23/2022 12:53 PM","Other",""
"T58263","Копирование файла формата .MKV","nikitra123@gmail.com","C3416","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Функционал","1","","Failed","nikitra123@gmail.com","11/23/2022 12:53 PM","Other",""
"T58185","Проверка дизайна программы","nikitra123@gmail.com","C3410","Все активные кнопки разных размеров, а так же разных цветов.","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Нефункционал","1","","Failed","nikitra123@gmail.com","11/23/2022 12:55 PM","Other",""
"T58198","Проверка языка интерфейса программы","nikitra123@gmail.com","C3411","Надписи в программе написаны на двух языках Русский и Английский ","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Нефункционал","1","","Failed","nikitra123@gmail.com","11/23/2022 12:55 PM","Other",""
"T58211","Проверка надписей на орфографию","nikitra123@gmail.com","C3412","Есть орфографические ошибки 
1. При наведение курсора на кнопку ""удалить выделеные файлы из списка"" должно быть написано ""удалить выделеННые файлы из списка""
![](index.php?/attachments/get/2831)
2. При нажатии кнопки ""Выбрать папку, куда писать файлы"" открывается окно ""обзор папок"" и появляется надпись ""куда складыват файлы""
![](index.php?/attachments/get/2832)
Должно быть написано ""куда складыватЬ файлы""

","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Нефункционал","1","","Failed","nikitra123@gmail.com","11/23/2022 12:59 PM","Other",""
"T58224","Копирования файла весом больше 5 гб","nikitra123@gmail.com","C3413","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Нагрузочные тесты","1","","Passed","nikitra123@gmail.com","11/23/2022 12:59 PM","Other",""
"T58237","Копирование файла с длиной имени 80 символов","nikitra123@gmail.com","C3414","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Нагрузочные тесты","1","","Passed","nikitra123@gmail.com","11/23/2022 12:59 PM","Other",""
"T58250","Копирование сразу 40-ка файлов","nikitra123@gmail.com","C3415","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Нагрузочные тесты","1","","Passed","nikitra123@gmail.com","11/23/2022 12:59 PM","Other",""
"T58274","CopyFile","nikitra123@gmail.com","C3124","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","functional","1","","Untested","","","Functional",""
"T58275","Копирование файлов","nikitra123@gmail.com","C3125","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Функционал","1","","Untested","","","Functional",""
"T56750","Удаление файлов из списка","nikitra123@gmail.com","C3285","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Функционал","1","","Untested","","","Functional",""
"T56762","Копирование разных форматов файла","nikitra123@gmail.com","C3286","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Функционал","1","","Untested","","","Functional",""
"T56774","Приостановка копирования","nikitra123@gmail.com","C3287","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","Функционал","1","","Untested","","","Functional",""
"T56834","Изменение размеров окна программы","nikitra123@gmail.com","C3292","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Не функционал","1","","Untested","","","Other",""
"T56846","Всплывающие подсказки","nikitra123@gmail.com","C3293","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","Не функционал","1","","Untested","","","Other",""
"T56822","Проверка локализации","nikitra123@gmail.com","C3291","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Не функционал","1","","Untested","","","Other",""
"T56870","Проверка ползунка при длинном названии файла","nikitra123@gmail.com","C3295","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Не функционал","1","","Untested","","","Other",""
"T56918","Размер значков","nikitra123@gmail.com","C3299","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Не функционал","1","","Untested","","","Other",""
